tableName,allocationStatus,projectSummary,projectID,year,projectCode,projectTitle,applicationID,applicationCode,windowID,windowFullName,countryID,countryName,countryCode,agencyID,agencyName,agencyShortName,implementingAgencyID,implementingAgencyName,emergencyTypeID,emergencyTypeName,emergencyGroupForGlobalReporting,projectsectors,totalAmountApproved,projectSectorName,beneficiaryType,plannedGirls,plannedBoys,plannedChildren,plannedWomen,plannedMen,plannedFemale,plannedMale,plannedAdults,totalPeoplePlanned,reachedGirls,reachedBoys,reachedChildren,reachedWomen,reachedMen,reachedFemale,reachedMale,reachedAdults,totalPeopleReached,projectgrouping,projectStatus,projectStartDate,projectEndDate,letterSentToAgencyDate,dateUSGSignature,disbursementDate,emergencyGroupName,emergencyCategoryName,regionName,subRegionName,continentName,projectTypeID,projectTypeName,projectcapcode,cerfGenderMarkerID,cerfGenderMarkerName,genderMarkerType,ProjectCountry
P,Completed,"This project seeks to address health needs stemming from displacement due to conflict and floods, as well as disease outbreaks - including cholera, in six designated counties of South Sudan: Canal Pigi, Fangak, Ayod, Akobo, Panyikang and Fashoda. The project targets a total of 154,000 affected people, including 36,824 women, 38,328 men, 78,848 children, and including 23,100 persons with disabilities.",35696,2025,CERF-SSD-25-RR-WHO-35696,"Life-saving humanitarian response for crisis-affected populations in Canal Pigi, Fangak, Ayod, Akobo, Panyikang and Fashoda counties in South Sudan.",1463,CERF-SSD-25-RR-1463,3,Rapid Response,91,South Sudan,SSD,3,World Health Organization,WHO,3,World Health Organization,6,Flood,Natural Disaster,"{'projectsectors': [{'tableName': 'P', 'projectID': 35696, 'projectCode': 'CERF-SSD-25-RR-WHO-35696', 'sectorID': 9, 'sectorName': 'Health', 'cERFSectorName': 'Health', 'sectorAmount': 1650427.95, 'clusterName': 'Health', 'iascSectorname': 'Health'}]}",1650427.95,Health,Host communities;Refugees;Returnees;Internally displaced persons,38636.0,40212.0,78848.0,36824.0,38328.0,75460.0,78540.0,75152.0,154000.0,38636.0,166878.0,205514.0,36824.0,38328.0,75460.0,205206.0,75152.0,280666.0,{'projectgrouping': []},Funded,2025-07-01T00:00:00,2025-12-30T00:00:00,2025-06-25T00:00:00,2025-06-25T00:00:00,2025-07-01T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,1,HRP,{'projectcapcode': []},4,3,GAM,"{'ProjectCountry': [{'projectID': 35696, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 1650427.95}]}"
P,Completed,"The main objective of this project is to improve access to lifesaving sexual and reproductive health services for 40,675 women and girls of reproductive age in six high-priority counties of Upper Nile and Jonglei States. This UNFPA project provides case management for survivors of gender-based violence and protection support, including cash assistance, to 1,000 survivors in the targeted counties. Additionally, the project aims to enhance dignity and reduce health risks for women and girls through the distribution of 84 reproductive health kits and 5,455 dignity kits. The project provides life-saving assistance to 47,837 people, including 23,919 women, 7,655 men, 16,263 children, and including 3,349 persons with disabilities.",35699,2025,CERF-SSD-25-RR-FPA-35699,Improving Access to Emergency SRH and GBV Prevention and Response for Vulnerable Women and Girls in Upper Nile and Jonglei States,1463,CERF-SSD-25-RR-1463,3,Rapid Response,91,South Sudan,SSD,6,United Nations Population Fund,UNFPA,6,United Nations Population Fund,6,Flood,Natural Disaster,"{'projectsectors': [{'tableName': 'P', 'projectID': 35699, 'projectCode': 'CERF-SSD-25-RR-FPA-35699', 'sectorID': 20, 'sectorName': 'Protection', 'cERFSectorName': 'Gender-Based Violence', 'sectorAmount': 404019.14, 'clusterName': 'Protection', 'iascSectorname': 'Gender Based Violence'}, {'tableName': 'P', 'projectID': 35699, 'projectCode': 'CERF-SSD-25-RR-FPA-35699', 'sectorID': 32, 'sectorName': 'Health', 'cERFSectorName': 'Sexual and Reproductive Health', 'sectorAmount': 549981.19, 'clusterName': 'Health', 'iascSectorname': 'Health'}]}",954000.33,Health;Protection,Host communities;Refugees;Returnees;Internally displaced persons,12437.0,3826.0,16263.0,23919.0,7655.0,36356.0,11481.0,31574.0,47837.0,12437.0,3826.0,16263.0,23919.0,7655.0,36356.0,11481.0,31574.0,47837.0,{'projectgrouping': []},Funded,2025-06-24T00:00:00,2025-12-23T00:00:00,2025-06-19T00:00:00,2025-06-19T00:00:00,2025-06-24T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,1,HRP,{'projectcapcode': []},5,4,GAM,"{'ProjectCountry': [{'projectID': 35699, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 954000.33}]}"
P,Completed,"The main objective of this project is to provide life-saving food and nutrition assistance to 103,158 vulnerable and flood-affected populations in six high-priority counties of South Sudan (Canal/Pigi, Fangak, Ayod, Akobo, Panyikang, and Fashoda) through targeted general food distribution, supplementary feeding programs, and early flood mitigation interventions, thereby reducing acute food insecurity and preventing further deterioration in nutritional status. This WFP project provides a range of activities. The project provides life-saving assistance to 103,158 people, including 23,264 women, 10,482 men, and 69,412 children.",35700,2025,CERF-SSD-25-RR-WFP-35700,Emergency food and nutrition assistance to the most vulnerable and food insecure people affected by conflict and flooding,1463,CERF-SSD-25-RR-1463,3,Rapid Response,91,South Sudan,SSD,2,World Food Programme,WFP,2,World Food Programme,6,Flood,Natural Disaster,"{'projectsectors': [{'tableName': 'P', 'projectID': 35700, 'projectCode': 'CERF-SSD-25-RR-WFP-35700', 'sectorID': 10, 'sectorName': 'Nutrition', 'cERFSectorName': 'Nutrition', 'sectorAmount': 449124.9, 'clusterName': 'Nutrition', 'iascSectorname': 'Nutrition'}, {'tableName': 'P', 'projectID': 35700, 'projectCode': 'CERF-SSD-25-RR-WFP-35700', 'sectorID': 8, 'sectorName': 'Food Assistance', 'cERFSectorName': 'Food Aid', 'sectorAmount': 1347374.7, 'clusterName': 'Food Aid', 'iascSectorname': 'Food Security'}]}",1796499.6,Food Assistance;Nutrition,Host communities;Internally displaced persons,36965.0,32447.0,69412.0,23264.0,10482.0,60229.0,42929.0,33746.0,103158.0,37015.0,32490.0,69505.0,23242.0,10499.0,60257.0,42989.0,33741.0,103246.0,{'projectgrouping': []},Funded,2025-06-25T00:00:00,2025-12-24T00:00:00,2025-06-18T00:00:00,2025-06-18T00:00:00,2025-06-25T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,1,HRP,"{'projectcapcode': [{'tableName': 'P', 'projectID': 35700, 'projectCode': 'CERF-SSD-25-RR-WFP-35700', 'capCode': 'HSSD25-NUT-220955-1'}, {'tableName': 'P', 'projectID': 35700, 'projectCode': 'CERF-SSD-25-RR-WFP-35700', 'capCode': 'HSSD25-FSC-221067-1'}]}",3,2,GAM,"{'ProjectCountry': [{'projectID': 35700, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 1796499.6}]}"
P,Completed,"The main objective of this project is to reduce the adverse impact of flooding on the lives and livelihoods of 65,000 vulnerable households in South Sudan, particularly those at heightened risk due to escalating conflict, anticipated floods, food insecurity, and the ongoing cholera outbreak. This FAO project provides interventions focus on the most affected counties, namely Canal/Pigi, Fangak, Akobo, Ayod, Panyikang, and Fashoda. The project provides life-saving assistance to 390,000 people, including 195,000 women, 117,000 men, and 78,000 children.",35701,2025,CERF-SSD-25-RR-FAO-35701,Life-saving emergency livelihood response in South Sudan,1463,CERF-SSD-25-RR-1463,3,Rapid Response,91,South Sudan,SSD,5,Food and Agriculture Organization,FAO,5,Food and Agriculture Organization,6,Flood,Natural Disaster,"{'projectsectors': [{'tableName': 'P', 'projectID': 35701, 'projectCode': 'CERF-SSD-25-RR-FAO-35701', 'sectorID': 1, 'sectorName': 'Agriculture', 'cERFSectorName': 'Agriculture', 'sectorAmount': 1093500.0, 'clusterName': 'Agriculture', 'iascSectorname': 'Agriculture'}]}",1093500.0,Agriculture,Host communities;Refugees;Returnees;Internally displaced persons,39000.0,39000.0,78000.0,195000.0,117000.0,234000.0,156000.0,312000.0,390000.0,7350.0,9066.0,16416.0,167667.0,198954.0,175017.0,208020.0,366621.0,383037.0,{'projectgrouping': []},Funded,2025-06-23T00:00:00,2026-02-22T00:00:00,2025-06-18T00:00:00,2025-06-18T00:00:00,2025-06-23T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,1,HRP,"{'projectcapcode': [{'tableName': 'P', 'projectID': 35701, 'projectCode': 'CERF-SSD-25-RR-FAO-35701', 'capCode': 'HSSD25-FSC-222748-1'}]}",4,3,GAM,"{'ProjectCountry': [{'projectID': 35701, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 1093500.0}]}"
P,Completed,"The main objective of this project is to target 125,043 people in Fangak, Ayod, Akobo, Canal/Pigi, Panyikang, and Fashoda, affected by conflict, food insecurity, cholera, and anticipated flooding. It aims to deliver integrated WASH and Nutrition services, including early detection and treatment of wasting, and preventive support. Communities will be empowered with knowledge and tools to practice safe hygiene and access services, improving health and resilience. The project delivers life-saving assistance to 175,080 people, including 37,904 women, 29,376 men, 107,800 children, and including 26,258 persons with disabilities.",35702,2025,CERF-SSD-25-RR-CEF-35702,"Integrated WASH and Nutrition Response in Fangak, Ayod, Akobo, Canal Pigi, Panyikang, Fashoda affected by multiple crisis: conflict, food insecurity, cholera and anticipatory action against flooding. ",1463,CERF-SSD-25-RR-1463,3,Rapid Response,91,South Sudan,SSD,4,United Nations Children’s Fund,UNICEF,4,United Nations Children’s Fund,6,Flood,Natural Disaster,"{'projectsectors': [{'tableName': 'P', 'projectID': 35702, 'projectCode': 'CERF-SSD-25-RR-CEF-35702', 'sectorID': 18, 'sectorName': 'Water, Sanitation and Hygiene', 'cERFSectorName': 'Water, Sanitation and Hygiene', 'sectorAmount': 2190017.55, 'clusterName': 'Water, Sanitation and Hygiene', 'iascSectorname': 'Water Sanitation Hygiene'}, {'tableName': 'P', 'projectID': 35702, 'projectCode': 'CERF-SSD-25-RR-CEF-35702', 'sectorID': 10, 'sectorName': 'Nutrition', 'cERFSectorName': 'Nutrition', 'sectorAmount': 690068.65, 'clusterName': 'Nutrition', 'iascSectorname': 'Nutrition'}]}",2880086.2,"Nutrition;Water, Sanitation and Hygiene",Host communities;Returnees;Internally displaced persons,30989.0,30406.0,61395.0,34272.0,29376.0,65261.0,59782.0,63648.0,125043.0,38608.0,35518.0,74126.0,43240.0,37063.0,81848.0,72581.0,80303.0,154429.0,{'projectgrouping': []},Funded,2025-06-25T00:00:00,2026-03-24T00:00:00,2025-06-18T00:00:00,2025-06-18T00:00:00,2025-06-25T00:00:00,Natural Disaster,Natural Disaster,Eastern Africa,Eastern Africa,Africa,1,HRP,{'projectcapcode': []},5,4,GAM,"{'ProjectCountry': [{'projectID': 35702, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 2880086.2}]}"
P,Completed,"The main objective of this project is to collect data to inform protection advocacy and emergency response (assessment, protection monitoring, enrollment, and profiling), provide life-saving protection support, including cash assistance to conflict and flood-affected people, and alleviate the suffering of conflict and flood-affected populations by restoring their shelters and improving their living conditions, thereby enhancing their resilience to ongoing climate challenges. This UNHCR project provides these activities among others. The project provides life-saving assistance to 72,747 people, including 19,153 women, 18,586 men, 35,008 children, and including 11,732 persons with disabilities.",35705,2025,CERF-SSD-25-RR-HCR-35705,Provision of lifesaving assistance to conflict and flood affected persons in South Sudan,1463,CERF-SSD-25-RR-1463,3,Rapid Response,91,South Sudan,SSD,11,United Nations High Commissioner for Refugees,UNHCR,11,United Nations High Commissioner for Refugees,29,Displacement/Migration,,"{'projectsectors': [{'tableName': 'P', 'projectID': 35705, 'projectCode': 'CERF-SSD-25-RR-HCR-35705', 'sectorID': 14, 'sectorName': 'Protection', 'cERFSectorName': 'Protection', 'sectorAmount': 606015.69, 'clusterName': 'Protection', 'iascSectorname': 'Protection'}, {'tableName': 'P', 'projectID': 35705, 'projectCode': 'CERF-SSD-25-RR-HCR-35705', 'sectorID': 17, 'sectorName': 'Shelter and Non-Food Items', 'cERFSectorName': 'Shelter', 'sectorAmount': 1019999.05, 'clusterName': 'Shelter and Non-Food Items', 'iascSectorname': 'Emergency Shelter and NFI'}]}",1626014.74,Protection;Shelter and Non-Food Items,Internally displaced persons,17512.0,17496.0,35008.0,19153.0,18586.0,36665.0,36082.0,37739.0,72747.0,17450.0,17439.0,34889.0,19087.0,18521.0,36537.0,35960.0,37608.0,72497.0,{'projectgrouping': []},Funded,2025-06-23T00:00:00,2025-12-22T00:00:00,2025-06-18T00:00:00,2025-06-18T00:00:00,2025-06-23T00:00:00,,Man-made,Eastern Africa,Eastern Africa,Africa,1,HRP,{'projectcapcode': []},1,0,GAM,"{'ProjectCountry': [{'projectID': 35705, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 1626014.74}]}"
P,Under Implementation,"For the implementation of this project, WFP delivers a rapid, context appropriate emergency food and nutrition response across six counties, Nyirol, Uror, Ulang, Duk, Akobo, and Awerial prioritizing households in IPC Phase 4, and IDPs. WFP applies a complementary funding model, using CERF resources to procure pulses and vegetable oil, while cereals will be sourced from other donor contributions to ensure affected people receive a full, nutritionally complete food basket. The project targets a total of 31,321 affected people with life-saving Food Security and Nutrition activities.",38959,2026,CERF-SSD-26-RR-WFP-38959,"Emergency Food and Nutrition Assistance to Conflict Affected Populations in Jonglei, Upper Nile and Lakes State",1515,CERF-SSD-26-RR-1515,3,Rapid Response,91,South Sudan,SSD,2,World Food Programme,WFP,2,World Food Programme,29,Displacement/Migration,,"{'projectsectors': [{'tableName': 'P', 'projectID': 38959, 'projectCode': 'CERF-SSD-26-RR-WFP-38959', 'sectorID': 8, 'sectorName': 'Food Assistance', 'cERFSectorName': 'Food Aid', 'sectorAmount': 2000077.21, 'clusterName': 'Food Aid', 'iascSectorname': 'Food Security'}, {'tableName': 'P', 'projectID': 38959, 'projectCode': 'CERF-SSD-26-RR-WFP-38959', 'sectorID': 10, 'sectorName': 'Nutrition', 'cERFSectorName': 'Nutrition', 'sectorAmount': 299919.58, 'clusterName': 'Nutrition', 'iascSectorname': 'Nutrition'}]}",2299996.79,Food Assistance;Nutrition,Host communities;Internally displaced persons,39823.0,34165.0,73988.0,23718.0,13105.0,63541.0,47270.0,36823.0,110811.0,,,,,,,,,,{'projectgrouping': []},Funded,2026-02-01T00:00:00,2026-07-31T00:00:00,2026-02-18T00:00:00,2026-02-18T00:00:00,2026-02-23T00:00:00,,Man-made,Eastern Africa,Eastern Africa,Africa,1,HRP,{'projectcapcode': []},5,4,GAM,"{'ProjectCountry': [{'projectID': 38959, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 2299996.79}]}"
P,Under Implementation,"The main objective of this project is to contribute to reducing morbidity and mortality risks, malnutrition, and exposure to protection risks among conflict-affected internally displaced persons in Jonglei, Upper Nile, and Lakes States, including the priority counties of Duk, Uror, Nyirol, Akobo, Awerial, and Ulang. This UNICEF project provides WASH, Nutrition, and Child Protection services. The project provides life-saving assistance to 173,386 people, including 47,328 women, 28,235 men, 97,823 children, and including 20,435 people with disabilities.",38960,2026,CERF-SSD-26-RR-CEF-38960,"Life-Saving Integrated WASH, Nutrition and Child Protection Response for Conflict-Affected Internally Displaced Persons in Jonglei, Upper Nile and Lakes States, South Sudan.",1515,CERF-SSD-26-RR-1515,3,Rapid Response,91,South Sudan,SSD,4,United Nations Children’s Fund,UNICEF,4,United Nations Children’s Fund,29,Displacement/Migration,,"{'projectsectors': [{'tableName': 'P', 'projectID': 38960, 'projectCode': 'CERF-SSD-26-RR-CEF-38960', 'sectorID': 18, 'sectorName': 'Water, Sanitation and Hygiene', 'cERFSectorName': 'Water, Sanitation and Hygiene', 'sectorAmount': 2000137.11, 'clusterName': 'Water, Sanitation and Hygiene', 'iascSectorname': 'Water Sanitation Hygiene'}, {'tableName': 'P', 'projectID': 38960, 'projectCode': 'CERF-SSD-26-RR-CEF-38960', 'sectorID': 10, 'sectorName': 'Nutrition', 'cERFSectorName': 'Nutrition', 'sectorAmount': 699932.49, 'clusterName': 'Nutrition', 'iascSectorname': 'Nutrition'}, {'tableName': 'P', 'projectID': 38960, 'projectCode': 'CERF-SSD-26-RR-CEF-38960', 'sectorID': 25, 'sectorName': 'Protection', 'cERFSectorName': 'Child Protection', 'sectorAmount': 599942.13, 'clusterName': 'Protection', 'iascSectorname': 'Child Protection'}]}",3300011.73,"Nutrition;Protection;Water, Sanitation and Hygiene",Host communities;Returnees;Internally displaced persons,53720.0,44103.0,97823.0,47328.0,28235.0,101048.0,72338.0,75563.0,173386.0,,,,,,,,,,{'projectgrouping': []},Funded,2026-02-16T00:00:00,2026-08-15T00:00:00,2026-02-18T00:00:00,2026-02-18T00:00:00,2026-02-23T00:00:00,,Man-made,Eastern Africa,Eastern Africa,Africa,1,HRP,{'projectcapcode': []},5,4,GAM,"{'ProjectCountry': [{'projectID': 38960, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 3300011.73}]}"
P,Under Implementation,"The main objective of this project is to strengthen emergency health services and disease prevention in Nyirol, Uror, Akobo, Duk, Awerial, and Ulang by deploying technical health experts, supporting static and mobile health centers, enhancing outbreak preparedness, and training health workers to deliver quality care to 53,336 vulnerable people affected by conflict, climate shocks, and disease outbreaks. This WHO project provides deployment of technical health experts, support to static and mobile health centers, enhancement of outbreak preparedness, and training of health workers to deliver quality care. The project provides life-saving assistance to 53,335 people, including 16,133 women, 15,603 men, 21,599 children, and including 8,001 people with disabilities.",38961,2026,CERF-SSD-26-RR-WHO-38961,"Strengthening Emergency Health Services and Disease Prevention in Nyirol, Uror, Akobo, Duk, Awerial, and Ulang",1515,CERF-SSD-26-RR-1515,3,Rapid Response,91,South Sudan,SSD,3,World Health Organization,WHO,3,World Health Organization,29,Displacement/Migration,,"{'projectsectors': [{'tableName': 'P', 'projectID': 38961, 'projectCode': 'CERF-SSD-26-RR-WHO-38961', 'sectorID': 9, 'sectorName': 'Health', 'cERFSectorName': 'Health', 'sectorAmount': 1333408.8, 'clusterName': 'Health', 'iascSectorname': 'Health'}]}",1333408.8,Health,Host communities;Returnees;Internally displaced persons,10799.0,10800.0,21599.0,16133.0,15603.0,26932.0,26403.0,31736.0,53335.0,,,,,,,,,,{'projectgrouping': []},Funded,2026-02-09T00:00:00,2026-08-08T00:00:00,2026-02-20T00:00:00,2026-02-20T00:00:00,2026-03-03T00:00:00,,Man-made,Eastern Africa,Eastern Africa,Africa,1,HRP,"{'projectcapcode': [{'tableName': 'P', 'projectID': 38961, 'projectCode': 'CERF-SSD-26-RR-WHO-38961', 'capCode': 'HSSD25-HEA-222926-1'}]}",5,4,GAM,"{'ProjectCountry': [{'projectID': 38961, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 1333408.8}]}"
P,Under Implementation,"This project supports the provision of an integrated, life-saving Sexual and Reproductive Health (SRH) and Gender-Based Violence (GBV) response for conflict-displaced women and girls in Jonglei, Upper Nile and Lakes states, where active conflict, inter-communal violence and large-scale displacement have severely disrupted access to essential services. The project provides life-saving assistance to 32,664 people, including 16,332 women, 5,226 men, 11,106 children, and including 2,939 people with disabilities.",38962,2026,CERF-SSD-26-RR-FPA-38962,"Integrated Lifesaving Sexual and Reproductive Health and GBV Response for Conflict-Displaced Women and Girls in Jonglei, Upper Nile and Lakes",1515,CERF-SSD-26-RR-1515,3,Rapid Response,91,South Sudan,SSD,6,United Nations Population Fund,UNFPA,6,United Nations Population Fund,29,Displacement/Migration,,"{'projectsectors': [{'tableName': 'P', 'projectID': 38962, 'projectCode': 'CERF-SSD-26-RR-FPA-38962', 'sectorID': 32, 'sectorName': 'Health', 'cERFSectorName': 'Sexual and Reproductive Health', 'sectorAmount': 666589.35, 'clusterName': 'Health', 'iascSectorname': 'Health'}, {'tableName': 'P', 'projectID': 38962, 'projectCode': 'CERF-SSD-26-RR-FPA-38962', 'sectorID': 20, 'sectorName': 'Protection', 'cERFSectorName': 'Gender-Based Violence', 'sectorAmount': 900013.11, 'clusterName': 'Protection', 'iascSectorname': 'Gender Based Violence'}]}",1566602.46,Health;Protection,Host communities;Internally displaced persons,8493.0,2613.0,11106.0,16332.0,5226.0,24825.0,7839.0,21558.0,32664.0,,,,,,,,,,{'projectgrouping': []},Funded,2026-02-24T00:00:00,2026-08-23T00:00:00,2026-02-20T00:00:00,2026-02-20T00:00:00,2026-02-24T00:00:00,,Man-made,Eastern Africa,Eastern Africa,Africa,1,HRP,{'projectcapcode': []},5,4,GAM,"{'ProjectCountry': [{'projectID': 38962, 'countryCode': 'SSD', 'countryPercent': 100.0, 'totalBudget': 1566602.46}]}"
